ID,Action
13259,deny
3826,allow
58060,allow
50951,allow
57518,deny
22983,allow
57011,allow
24385,deny
19494,allow
35123,allow
34841,allow
52933,allow
39710,allow
31673,allow
23630,deny
11737,allow
63473,allow
1478,allow
59832,drop
22089,deny
27766,allow
27278,deny
52552,allow
28499,allow
12641,allow
32906,deny
31037,drop
62251,drop
8498,deny
63153,drop
53092,allow
22737,drop
26361,allow
41498,allow
47375,allow
34535,deny
43903,allow
14655,allow
47803,allow
2465,allow
32942,drop
59880,drop
41437,deny
25861,deny
55256,drop
12715,allow
36732,allow
51240,allow
13725,allow
31367,allow
38144,deny
23236,drop
5370,allow
16510,drop
57767,drop
11065,allow
19483,allow
9708,deny
50191,allow
4965,allow
34686,allow
42229,allow
31951,allow
55964,allow
13542,drop
16321,allow
10711,allow
58770,allow
11609,allow
28866,deny
64913,allow
60952,drop
40757,allow
15866,allow
50845,allow
35994,allow
6951,drop
21872,allow
26757,allow
2288,drop
65142,allow
54233,allow
22496,deny
49070,deny
30086,allow
3133,allow
43904,deny
32410,allow
14870,drop
56228,deny
31566,drop
33781,allow
13849,allow
35184,allow
44208,allow
1084,deny
22149,drop
64617,drop
42707,allow
64752,allow
21036,allow
47794,allow
42254,allow
25428,deny
36424,allow
57843,drop
51174,drop
64421,allow
56968,allow
30939,deny
39542,drop
22432,deny
61717,deny
18750,allow
56383,allow
48296,deny
62498,allow
4109,allow
4303,allow
23869,allow
50655,drop
40060,allow
50660,drop
28318,allow
37647,drop
59887,deny
13370,allow
64826,allow
51573,allow
35650,allow
23546,drop
29624,deny
56850,allow
54867,deny
17541,allow
63734,allow
49815,deny
31704,allow
19078,deny
5702,deny
956,drop
25280,drop
7636,deny
33678,allow
13423,allow
62086,allow
33603,allow
54722,allow
9943,allow
4050,allow
60154,allow
34773,allow
15651,allow
57976,deny
41433,deny
31835,allow
43827,allow
20898,allow
25917,deny
7536,allow
54875,deny
11377,drop
46279,allow
42064,drop
27363,allow
36184,drop
56403,allow
31909,allow
41641,allow
42651,allow
62299,allow
56892,allow
20840,deny
19298,deny
36703,allow
43190,drop
59042,deny
29359,allow
36675,allow
4461,allow
50152,allow
38507,allow
29400,allow
43171,deny
17787,allow
35736,drop
23510,deny
59260,allow
29051,allow
59380,allow
18603,allow
30707,allow
19786,allow
63042,allow
15803,allow
57841,drop
967,deny
9499,allow
34758,allow
3012,allow
65104,allow
15685,allow
63806,allow
28358,deny
16184,deny
39613,allow
22547,allow
571,deny
58046,allow
7661,deny
57062,allow
63041,allow
56043,allow
7960,drop
24078,allow
23952,drop
46680,allow
21386,deny
8979,allow
45417,allow
48039,drop
60728,drop
42810,drop
49256,allow
52385,deny
11888,drop
53399,allow
5213,drop
40517,deny
25940,deny
22046,deny
23500,drop
47229,allow
7776,deny
22158,allow
16133,allow
13901,allow
23564,drop
5841,allow
7090,deny
782,deny
54881,allow
241,deny
13012,drop
11207,allow
43582,deny
47825,allow
64887,allow
11871,deny
9043,allow
62674,allow
15517,allow
15865,allow
26261,allow
44649,allow
40496,drop
6501,allow
47480,allow
131,allow
18388,allow
46295,allow
65213,allow
58400,allow
49740,drop
23329,allow
23278,drop
31662,allow
34937,deny
7474,deny
27420,allow
4403,allow
24666,allow
55531,allow
23291,drop
61856,allow
62371,allow
48829,deny
18669,allow
6071,deny
11781,allow
60002,allow
26542,allow
6315,drop
48050,deny
33673,allow
360,drop
15143,allow
18916,allow
35314,deny
63969,deny
7851,deny
43461,allow
44528,deny
17062,deny
18499,deny
11844,allow
53494,allow
62239,drop
18848,allow
58892,allow
49651,allow
2960,drop
6939,allow
2568,allow
39511,drop
61641,drop
12385,drop
40279,deny
16385,allow
39576,allow
31356,allow
20302,deny
63769,allow
34594,deny
60886,allow
13956,deny
50257,allow
53061,allow
8185,allow
53947,deny
17597,allow
16437,deny
29155,drop
59493,deny
50910,allow
19436,allow
20714,deny
1260,allow
15137,allow
55469,allow
8701,allow
51047,deny
17530,allow
1292,drop
45384,allow
53162,deny
4240,drop
2490,allow
44216,allow
29059,allow
25801,allow
8807,deny
40499,drop
58281,deny
47102,allow
8308,allow
50416,drop
13454,allow
41775,drop
53348,allow
49427,deny
34576,deny
33600,allow
36905,allow
9569,allow
61927,deny
60317,deny
43239,deny
14165,allow
61004,drop
48102,drop
33932,drop
16881,deny
64873,allow
52622,allow
39460,deny
36742,drop
55149,allow
14099,allow
60045,allow
44891,allow
12759,allow
9094,allow
24279,allow
21128,allow
29695,allow
43678,deny
2340,drop
55970,allow
17985,deny
8514,drop
32983,drop
56961,allow
610,deny
25156,allow
54387,drop
56837,deny
2815,deny
24631,allow
61983,allow
49426,deny
31652,allow
30474,drop
59495,deny
47477,allow
39030,allow
28667,allow
66,allow
16818,drop
38394,allow
28839,deny
39216,allow
19999,allow
8652,allow
32911,drop
4696,drop
7172,deny
28095,deny
41158,allow
6394,deny
31051,deny
21425,allow
54835,allow
61077,allow
37860,allow
50703,drop
36762,allow
9575,allow
18828,allow
37540,drop
56644,allow
25001,allow
55924,allow
43347,allow
50455,deny
46237,allow
65074,deny
18585,drop
45696,drop
54517,drop
53488,allow
6584,allow
2497,allow
54554,deny
40031,deny
42441,drop
29390,allow
55677,deny
40544,drop
63359,allow
63049,deny
64011,deny
19674,deny
40982,drop
4903,allow
34677,allow
44638,allow
7029,deny
54372,deny
8839,drop
37378,allow
49835,allow
35669,deny
5847,deny
28981,allow
51083,deny
26976,deny
55563,allow
61232,deny
15896,allow
27214,allow
32727,allow
19487,allow
6603,allow
65474,allow
34417,allow
10059,deny
49360,allow
55000,deny
59844,drop
15907,deny
56703,allow
63580,allow
36803,allow
47822,allow
43718,allow
56959,allow
22761,drop
17888,allow
47608,deny
19776,allow
51510,allow
56925,allow
58055,allow
9975,allow
14407,deny
8715,allow
61500,allow
13837,allow
65369,deny
33940,allow
8435,drop
45462,allow
9303,allow
20581,allow
14358,deny
19538,allow
49497,allow
52208,allow
38762,drop
48115,allow
23978,drop
1160,allow
16191,drop
64638,deny
31920,allow
44674,allow
40934,deny
35337,drop
47942,allow
35879,drop
40528,drop
41651,allow
22634,allow
21894,allow
48337,deny
16431,drop
3097,allow
53444,allow
28564,allow
19236,allow
26229,allow
42267,allow
37960,allow
23790,allow
56398,allow
45641,allow
54861,drop
45345,allow
10529,deny
27784,allow
56225,deny
12709,allow
10861,drop
43234,deny
21665,deny
33459,drop
33436,drop
27791,deny
8767,deny
34042,allow
53357,allow
14988,allow
15992,drop
3360,allow
53423,allow
21834,drop
23170,drop
22836,deny
54999,deny
35273,drop
7511,allow
10387,deny
58833,drop
11434,deny
13763,allow
38514,allow
32490,allow
14320,allow
1442,deny
21032,allow
33825,deny
53753,drop
37150,allow
59217,allow
35918,drop
57528,allow
10596,allow
58964,allow
40155,allow
45724,allow
51987,allow
59947,deny
25914,deny
15843,allow
16048,deny
25467,allow
64444,allow
59322,allow
31322,allow
65178,allow
49864,deny
57278,drop
35908,drop
8624,deny
41180,allow
51888,drop
2342,deny
46244,allow
7469,deny
15429,allow
2592,allow
41523,allow
25115,allow
37449,allow
10638,drop
5334,allow
52505,allow
49157,allow
60242,allow
4808,allow
55163,drop
52012,allow
36136,drop
4358,allow
3812,allow
3359,allow
42979,allow
38772,deny
36177,drop
14924,allow
28043,deny
33358,deny
34009,allow
42656,allow
60636,deny
63101,deny
52917,allow
40314,drop
51159,allow
37928,allow
13394,allow
58001,drop
59388,allow
34071,allow
30102,allow
17435,deny
38151,drop
61164,allow
49193,deny
61671,drop
61056,drop
27988,allow
31804,allow
3742,deny
63916,allow
22431,deny
63641,drop
22477,deny
60906,drop
48319,drop
44149,drop
22905,drop
33759,allow
21268,deny
38050,deny
1998,deny
29330,allow
59724,allow
23250,drop
14883,deny
7679,deny
48438,allow
57412,deny
63691,allow
21628,allow
42654,allow
9884,allow
27920,allow
21801,allow
48009,allow
51834,allow
31906,allow
8362,deny
30538,drop
45841,allow
61252,drop
36615,deny
23218,drop
35980,allow
7076,deny
28940,deny
37094,deny
34582,drop
37503,drop
28859,deny
53336,allow
20342,deny
8732,allow
973,drop
19686,deny
13773,allow
61516,allow
57921,allow
56031,allow
27989,allow
22993,allow
27814,drop
50755,drop
64006,drop
17539,allow
27042,allow
8570,allow
23004,allow
11627,allow
33565,allow
12480,drop
5498,allow
63708,allow
21610,allow
42206,allow
20601,allow
15873,allow
61895,allow
53875,allow
43446,allow
45708,drop
56318,drop
32401,allow
27415,allow
47366,allow
11973,deny
21843,drop
4451,allow
2549,allow
55319,allow
13041,deny
33985,deny
931,allow
15251,drop
60787,allow
40710,drop
3903,allow
53601,deny
16502,drop
4826,allow
57561,allow
20446,drop
33239,allow
13431,allow
38506,allow
64735,deny
30544,drop
1255,allow
39556,allow
23031,allow
25912,deny
3287,drop
62972,allow
20087,allow
23138,drop
41911,deny
48984,allow
12301,allow
5277,deny
62530,allow
10683,allow
45646,allow
50724,drop
61308,deny
9297,allow
57994,deny
6090,drop
9676,deny
8871,drop
13891,allow
14660,allow
20904,allow
59347,allow
56294,drop
30892,allow
36886,allow
43218,drop
21087,allow
45204,deny
65379,drop
12852,allow
10835,allow
60912,deny
12383,drop
53592,deny
32716,drop
27435,drop
58969,allow
45582,deny
58557,allow
17135,allow
36702,allow
37979,allow
4379,drop
26266,allow
38076,drop
29843,allow
15180,deny
64847,allow
34385,allow
59949,drop
64602,drop
50052,drop
42740,allow
12895,allow
16003,drop
58513,allow
48176,drop
36274,deny
63446,deny
54702,allow
18834,allow
16177,drop
15255,deny
44991,allow
12916,allow
9135,allow
20508,allow
401,allow
44275,allow
41591,allow
38705,allow
25264,allow
6852,drop
21725,deny
46223,allow
37684,allow
60684,drop
10581,allow
2005,deny
1775,deny
58137,allow
55244,drop
36401,allow
12738,allow
65167,allow
23475,allow
5413,deny
60569,deny
38486,allow
48130,deny
6650,allow
30084,allow
24418,drop
53534,drop
15605,deny
49515,allow
16149,drop
62181,deny
58293,deny
27171,allow
23441,allow
46517,allow
63277,deny
34425,allow
57861,drop
13826,allow
33658,allow
19953,allow
62510,allow
31118,allow
45185,deny
1806,deny
8237,allow
927,allow
41198,allow
11341,drop
22960,allow
64085,allow
44495,drop
51150,allow
39950,drop
54313,deny
43497,allow
21320,drop
2374,allow
45079,allow
42462,drop
60064,allow
17441,deny
59069,deny
30711,allow
35488,allow
7653,deny
25994,allow
39958,drop
57543,allow
47545,deny
31495,deny
12243,allow
2155,allow
45341,allow
12330,allow
17448,deny
55015,allow
27875,allow
27030,allow
56896,allow
46783,allow
47036,deny
30545,allow
59814,drop
33400,deny
46596,allow
30693,allow
62478,allow
25164,allow
26593,drop
21125,allow
33339,deny
28471,drop
43346,allow
56510,allow
28287,allow
33541,allow
17788,allow
40878,allow
41049,allow
46874,allow
51117,deny
58312,drop
28709,drop
4989,allow
19056,deny
43847,allow
17509,allow
45522,drop
46466,deny
51119,deny
39396,allow
36126,deny
14092,allow
40511,deny
31184,deny
19969,allow
58916,allow
51713,drop
14783,drop
25507,allow
65451,drop
15279,deny
60256,drop
64564,deny
64033,allow
13166,allow
52770,deny
20832,drop
42491,drop
58016,allow
14671,allow
62950,allow
38862,allow
41757,deny
54520,drop
10369,allow
25569,drop
8528,allow
45489,allow
47488,allow
46452,drop
57015,allow
24451,drop
47285,allow
60810,allow
1699,allow
45600,deny
43030,allow
16233,allow
5172,deny
61479,drop
47687,allow
12358,allow
12410,deny
14417,drop
57302,allow
44171,allow
11025,allow
60037,allow
37069,deny
27018,allow
43711,allow
8348,drop
53258,drop
48862,allow
11400,deny
32428,allow
6812,deny
30811,allow
32266,allow
48119,deny
2142,allow
43812,allow
13347,allow
15764,allow
61530,allow
52245,allow
10586,allow
5858,allow
61861,allow
58414,drop
42781,allow
46500,deny
26664,allow
25086,allow
25151,allow
7874,deny
12207,allow
23618,drop
15525,deny
55383,allow
14527,allow
30772,allow
26756,allow
51477,drop
29202,deny
32373,allow
15693,allow
63749,allow
10235,allow
4834,allow
50843,allow
46068,allow
38984,allow
49445,drop
55232,deny
49326,allow
16964,deny
29919,drop
34124,deny
42834,deny
60828,allow
63003,allow
56344,allow
3508,allow
41631,allow
6780,deny
56458,drop
60426,allow
10798,allow
59271,allow
5906,allow
8577,drop
55133,allow
438,allow
19347,allow
42887,drop
6776,deny
37439,allow
58376,allow
48724,deny
59161,deny
63018,allow
61697,deny
5993,drop
42497,drop
59634,allow
31895,allow
7809,deny
54479,allow
48475,allow
53826,allow
61285,deny
12366,allow
38175,allow
3398,allow
6913,allow
57562,allow
8138,allow
17355,drop
41095,deny
27977,allow
32278,drop
54756,deny
15903,drop
15197,drop
21586,allow
55358,allow
8928,allow
34057,allow
33412,drop
38661,deny
19587,drop
16244,allow
7337,deny
40166,allow
56307,deny
47206,deny
46400,drop
251,deny
3958,allow
29026,allow
36387,allow
56433,drop
62757,allow
12673,deny
999,drop
44249,allow
18915,allow
24661,allow
39744,allow
42861,deny
28640,allow
42094,deny
7841,deny
40594,deny
17446,drop
39582,allow
3780,drop
55568,allow
35464,deny
22383,deny
26372,allow
45763,allow
37366,allow
10025,drop
2024,drop
41834,deny
50172,allow
51496,allow
63012,allow
11827,allow
16900,deny
61054,deny
18157,allow
11754,allow
64738,allow
41091,allow
49062,deny
24728,drop
51894,deny
30760,allow
19830,allow
53025,allow
19066,drop
38358,allow
54818,allow
11029,allow
15276,drop
14872,drop
53339,allow
6066,deny
27896,allow
58571,allow
22884,deny
4121,deny
37033,drop
28275,allow
40345,deny
9362,drop
55605,allow
28002,drop
42168,drop
35553,allow
38457,allow
28749,drop
33195,allow
24471,allow
42205,allow
53741,drop
48807,drop
45061,allow
20334,deny
42751,allow
62072,allow
50574,allow
48186,deny
43267,drop
15957,deny
550,drop
39992,allow
7537,allow
61455,deny
11308,allow
36710,allow
48502,allow
18642,allow
31708,allow
31844,allow
29926,deny
56599,allow
45655,allow
55803,drop
10472,drop
18345,allow
53184,deny
5668,drop
48004,allow
52051,deny
33114,allow
7702,deny
44751,deny
61588,allow
674,deny
49398,deny
602,drop
34539,drop
7376,deny
51997,allow
21853,deny
43932,deny
48560,allow
50798,deny
32525,allow
47755,drop
4814,allow
44284,allow
32768,allow
25715,allow
31180,allow
22073,drop
1435,drop
42968,allow
41457,drop
43540,allow
39193,allow
9039,allow
57978,deny
38203,allow
62318,allow
43308,allow
32478,allow
59282,allow
19911,allow
48455,allow
8635,allow
7023,deny
630,deny
8625,deny
51808,drop
15107,allow
4157,drop
54275,allow
18482,deny
43503,allow
14148,drop
14420,drop
64220,drop
53335,allow
45387,allow
15707,allow
61084,allow
21270,deny
24140,allow
10801,allow
16231,allow
30767,allow
30216,allow
36954,allow
2893,allow
56207,deny
2453,allow
13439,allow
30075,allow
38939,allow
14536,deny
64552,deny
57188,allow
34902,deny
24714,deny
13460,allow
14573,deny
5966,deny
16884,deny
7398,deny
27983,allow
38223,allow
11430,drop
51059,drop
26289,allow
7683,deny
1609,allow
18796,allow
33002,allow
22402,drop
12224,allow
8691,allow
65525,allow
13155,allow
1630,allow
1390,deny
28727,drop
24127,drop
44787,deny
49305,allow
41019,drop
23399,allow
11122,deny
48088,allow
28969,allow
33646,allow
41737,deny
59365,allow
18524,drop
42635,allow
7970,deny
717,allow
58227,drop
60203,drop
54307,deny
58754,allow
19093,deny
50919,allow
37416,allow
37015,drop
24441,drop
7456,deny
56754,deny
22871,deny
50347,allow
29464,allow
17844,allow
43164,deny
59967,allow
11037,allow
38352,allow
16301,allow
54591,allow
12628,allow
24978,allow
27752,allow
56298,drop
9471,allow
34510,allow
21283,deny
57699,allow
28763,drop
30583,allow
55261,drop
54019,drop
5313,drop
44555,allow
36888,allow
48863,allow
46134,allow
50396,drop
38313,allow
20745,deny
38879,allow
26538,allow
14639,allow
27617,allow
7988,drop
64159,deny
17894,allow
2416,allow
38469,allow
39618,allow
421,allow
15629,deny
6205,allow
3544,allow
65117,allow
11773,allow
20733,drop
23306,allow
55436,allow
43647,deny
28241,allow
39646,deny
28163,allow
34933,drop
33229,allow
58702,drop
17042,allow
11784,allow
13062,drop
36000,allow
3340,allow
32974,drop
3438,allow
18678,allow
4168,deny
1466,allow
60034,allow
16888,drop
22316,allow
2667,deny
59798,allow
17014,allow
40554,deny
857,allow
40576,deny
20936,allow
56652,allow
498,allow
64441,allow
12699,allow
64983,deny
43493,allow
27719,deny
42886,deny
2684,drop
6283,allow
31293,allow
23628,drop
51045,drop
2477,allow
9839,allow
6198,allow
3524,allow
22719,allow
19514,allow
36053,allow
6942,allow
16305,allow
12459,drop
18081,drop
4603,allow
31081,allow
59736,allow
13582,drop
52232,deny
3761,deny
11948,drop
3406,allow
36653,allow
31286,allow
13065,drop
35080,drop
31127,allow
36880,allow
1693,allow
60464,allow
61703,drop
18046,drop
58303,deny
36552,drop
48252,allow
3921,allow
48122,deny
52793,deny
27221,allow
18241,allow
32786,allow
24756,deny
32117,deny
9408,deny
41982,allow
41890,allow
43181,drop
30823,allow
29709,drop
12602,allow
7354,deny
44583,allow
32692,allow
47108,allow
14218,allow
3087,allow
12924,allow
16004,deny
10248,allow
16753,allow
13492,deny
23230,deny
60278,deny
19045,deny
30384,allow
809,allow
2274,deny
26673,allow
56341,allow
4929,allow
36786,allow
21281,deny
14027,deny
13118,drop
35588,allow
38318,allow
37643,drop
61006,drop
45984,deny
49047,deny
35029,allow
58752,allow
16290,allow
4441,allow
65407,deny
45850,allow
28352,drop
41817,deny
40804,allow
49220,deny
12622,allow
51068,deny
27691,deny
55148,allow
24476,allow
3401,allow
8741,allow
28832,deny
23716,allow
8757,drop
34891,drop
58661,drop
56064,allow
13784,allow
29313,deny
47621,drop
37109,deny
47683,allow
46136,allow
2330,deny
48275,allow
33508,allow
46639,deny
41330,deny
1140,deny
59980,allow
298,allow
11626,allow
38134,deny
14323,allow
40167,allow
1224,allow
52219,allow
38480,allow
12776,allow
12152,allow
50713,deny
5431,deny
62294,deny
4947,allow
61911,deny
36294,allow
55824,allow
42460,drop
38065,deny
53921,drop
62913,allow
62903,allow
49275,allow
51130,allow
49012,drop
19807,allow
40398,allow
25396,deny
5211,drop
17736,allow
32566,drop
11018,allow
9412,deny
51659,deny
64765,allow
12411,drop
50763,drop
56139,allow
25293,deny
47257,allow
32214,allow
33263,allow
13077,deny
54349,drop
20748,deny
41545,allow
63751,allow
2192,allow
15670,allow
15637,drop
56672,allow
4247,drop
20744,deny
46625,deny
64260,allow
34033,allow
1430,deny
15344,drop
39044,deny
44380,deny
43996,deny
490,allow
46663,allow
802,allow
59521,drop
15823,allow
54817,drop
39080,deny
47881,allow
23274,deny
22339,allow
20151,allow
13995,drop
33694,allow
45563,drop
47350,allow
49554,deny
19913,allow
38957,allow
292,allow
4664,drop
3301,allow
44457,allow
50451,drop
27628,allow
19142,drop
62759,allow
29411,allow
19858,drop
17088,deny
47844,allow
29146,drop
11045,allow
44372,deny
57491,allow
28689,allow
4132,drop
30162,allow
59625,allow
35262,allow
7304,deny
5524,allow
52819,drop
4482,allow
23953,drop
30978,drop
41698,allow
63002,allow
47835,allow
19416,allow
22292,allow
2666,deny
57494,allow
18453,drop
61394,deny
28009,drop
40209,drop
42231,allow
64300,allow
8738,allow
15811,allow
8601,allow
13934,drop
3518,allow
49785,deny
11106,deny
6289,allow
1827,drop
8161,allow
45527,drop
30110,allow
16630,drop
32294,allow
45844,allow
65118,allow
63532,drop
58152,allow
3904,allow
24068,allow
36506,deny
26535,allow
41117,drop
47663,allow
2830,allow
7854,deny
1087,deny
5485,allow
12999,drop
10771,allow
41102,deny
27870,allow
41334,deny
335,allow
20761,deny
24891,drop
48908,allow
35941,allow
52235,deny
58013,allow
16764,allow
2689,drop
25047,allow
27667,deny
51416,drop
51052,drop
51378,drop
38055,drop
6260,allow
31162,allow
9574,allow
29558,drop
928,allow
41657,allow
29323,deny
20002,allow
54452,allow
15427,allow
27720,deny
8252,allow
26374,allow
32546,drop
16427,deny
1545,allow
23885,allow
16654,allow
53833,allow
50070,deny
22674,allow
12879,allow
56997,allow
58153,allow
49142,allow
53893,allow
51202,allow
10233,allow
44250,allow
63292,allow
27151,allow
54165,allow
14806,deny
45680,allow
59901,drop
33758,allow
50412,drop
57443,allow
15407,allow
52455,deny
25910,deny
49739,drop
46179,allow
13766,allow
29244,allow
64801,allow
59037,deny
7155,deny
24532,allow
51674,deny
10907,drop
7768,deny
44498,drop
44660,allow
55153,allow
45380,allow
41024,drop
63864,drop
4272,allow
45117,deny
912,allow
12674,deny
58288,deny
19702,deny
30018,deny
16093,allow
25724,allow
1408,drop
31866,allow
27194,allow
24613,allow
61821,allow
47968,allow
11959,deny
55438,allow
33009,deny
25655,allow
24623,allow
11794,allow
49952,allow
34733,deny
10621,drop
12442,drop
8740,allow
59073,deny
35099,drop
38180,allow
29861,allow
8400,deny
3024,allow
9547,allow
26189,allow
6437,deny
21103,allow
55397,allow
57025,allow
28026,drop
54672,allow
16092,allow
34377,allow
13336,allow
22299,allow
65073,deny
1075,drop
39897,deny
26060,allow
30890,allow
37690,allow
7226,deny
21152,allow
8937,allow
1983,allow
56830,drop
63596,allow
47013,deny
12142,allow
37593,deny
3214,drop
65426,deny
39831,deny
49031,deny
3323,allow
21576,allow
16982,allow
2281,deny
53212,drop
29556,drop
28857,drop
26251,allow
18765,allow
58789,allow
16561,allow
21208,allow
26965,drop
21419,allow
42273,allow
54024,drop
2768,drop
41429,deny
26370,allow
45088,allow
59611,allow
8878,deny
16360,allow
31422,allow
46338,allow
64511,drop
18942,allow
37328,allow
29833,allow
15522,deny
52337,allow
91,allow
30853,allow
31757,drop
53081,allow
27078,deny
43646,allow
14524,allow
60857,allow
62852,deny
56553,allow
36574,deny
62067,allow
50332,allow
43749,allow
9983,deny
51036,drop
17227,allow
32869,allow
26441,drop
19923,allow
57639,allow
29102,drop
31098,allow
17055,allow
52723,allow
44327,drop
4287,allow
11994,deny
31277,allow
63361,allow
64557,drop
33287,allow
22853,drop
60220,drop
38738,deny
3557,allow
58712,deny
42951,drop
60073,allow
41595,allow
18584,deny
2572,allow
17907,allow
41670,allow
60628,drop
12276,allow
64608,deny
17666,allow
1937,allow
5052,allow
27830,drop
28465,drop
7181,deny
11425,deny
28222,allow
22965,deny
1674,allow
12950,allow
63601,allow
59278,allow
19281,drop
32338,allow
27550,allow
24809,drop
30313,allow
10526,deny
27557,allow
9434,allow
30328,allow
65000,deny
59971,deny
4125,drop
3517,allow
31687,allow
23355,allow
37458,allow
64132,allow
3665,deny
10285,allow
44146,drop
27172,allow
21538,allow
65446,drop
62089,allow
30959,drop
53933,drop
3288,deny
44003,deny
46521,allow
59137,deny
51474,deny
41217,allow
50762,deny
13135,deny
10303,allow
52344,allow
19248,allow
20550,allow
46044,deny
21405,allow
4513,allow
28370,drop
11158,allow
33406,deny
63831,drop
25720,allow
50160,allow
55403,drop
60816,allow
11310,allow
45176,deny
35793,deny
8850,deny
13595,deny
4176,drop
36045,allow
41393,drop
54041,allow
10818,allow
27936,allow
3860,allow
53515,allow
56835,drop
29931,deny
49880,allow
5342,allow
34949,drop
13110,deny
4556,allow
38246,drop
4768,allow
57710,allow
57818,deny
14749,deny
19219,allow
37610,drop
27634,drop
45813,allow
38893,allow
1178,allow
9533,allow
39933,deny
11760,allow
49504,allow
54418,drop
26158,allow
61269,drop
23310,allow
59624,allow
9007,allow
44419,deny
57797,deny
1426,deny
8669,allow
13732,allow
4452,allow
63368,allow
1776,drop
27463,deny
55245,deny
55084,allow
5541,allow
39251,allow
12295,allow
28543,deny
27745,allow
48661,deny
54997,drop
57617,allow
49927,allow
592,deny
14833,deny
61716,deny
38303,allow
6256,allow
47520,deny
50113,drop
39281,allow
38263,deny
13089,allow
39007,deny
19797,allow
55379,allow
9246,deny
13765,allow
12066,allow
11591,drop
51456,drop
15900,allow
51648,allow
10293,allow
64681,allow
61133,allow
36576,deny
31600,deny
43367,deny
50307,allow
38152,drop
9961,allow
3,allow
58734,drop
19062,deny
60708,allow
39791,allow
8241,allow
46137,allow
37422,allow
29621,drop
25543,drop
36259,allow
17284,allow
6884,deny
40776,allow
48965,allow
54204,allow
60268,deny
59489,deny
56662,allow
3463,allow
7211,deny
19462,allow
16913,deny
62416,drop
5040,allow
58467,allow
35338,deny
36270,allow
23512,drop
53939,drop
36932,allow
58994,allow
